Date,Close
12/1/2015 16:00:00,679.06
12/2/2015 16:00:00,676.01
12/3/2015 16:00:00,666.25
12/4/2015 16:00:00,672.64
12/7/2015 16:00:00,669.83
12/8/2015 16:00:00,677.33
12/9/2015 16:00:00,664.79
12/10/2015 16:00:00,662.32
12/11/2015 16:00:00,640.15
12/14/2015 16:00:00,657.91
12/15/2015 16:00:00,658.64
12/16/2015 16:00:00,675.77
12/17/2015 16:00:00,670.65
12/18/2015 16:00:00,664.14
12/21/2015 16:00:00,664.51
12/22/2015 16:00:00,663.15
12/23/2015 16:00:00,663.7
12/24/2015 16:00:00,662.79
12/28/2015 16:00:00,675.2
12/29/2015 16:00:00,693.97
12/30/2015 16:00:00,689.07
12/31/2015 16:00:00,675.89
1/4/2016 16:00:00,636.99
1/5/2016 16:00:00,633.79
1/6/2016 16:00:00,632.65
1/7/2016 16:00:00,607.94
1/8/2016 16:00:00,607.05
1/11/2016 16:00:00,617.74
1/12/2016 16:00:00,617.89
1/13/2016 16:00:00,581.81
1/14/2016 16:00:00,593
1/15/2016 16:00:00,570.18
1/19/2016 16:00:00,574.48
1/20/2016 16:00:00,571.77
1/21/2016 16:00:00,575.02
1/22/2016 16:00:00,596.38
1/25/2016 16:00:00,596.53
1/26/2016 16:00:00,601.25
1/27/2016 16:00:00,583.35
1/28/2016 16:00:00,635.35
1/29/2016 16:00:00,587
2/1/2016 16:00:00,574.81
2/2/2016 16:00:00,552.1
2/3/2016 16:00:00,531.07
2/4/2016 16:00:00,536.26
2/5/2016 16:00:00,502.13
2/8/2016 16:00:00,488.1
2/9/2016 16:00:00,482.07
2/10/2016 16:00:00,490.48
2/11/2016 16:00:00,503.82
2/12/2016 16:00:00,507.08
2/16/2016 16:00:00,521.1
2/17/2016 16:00:00,534.1
2/18/2016 16:00:00,525
2/19/2016 16:00:00,534.9
2/22/2016 16:00:00,559.5
2/23/2016 16:00:00,552.94
2/24/2016 16:00:00,554.04
2/25/2016 16:00:00,555.15
2/26/2016 16:00:00,555.23
2/29/2016 16:00:00,552.52
3/1/2016 16:00:00,579.04
3/2/2016 16:00:00,580.21
3/3/2016 16:00:00,577.49
3/4/2016 16:00:00,575.14
3/7/2016 16:00:00,562.8
3/8/2016 16:00:00,560.26
3/9/2016 16:00:00,559.47
3/10/2016 16:00:00,558.93
3/11/2016 16:00:00,569.61
3/14/2016 16:00:00,573.37
3/15/2016 16:00:00,577.02
3/16/2016 16:00:00,574.27
3/17/2016 16:00:00,559.44
3/18/2016 16:00:00,552.08
3/21/2016 16:00:00,553.98
3/22/2016 16:00:00,560.48
3/23/2016 16:00:00,569.63
3/24/2016 16:00:00,582.95
3/28/2016 16:00:00,579.87
3/29/2016 16:00:00,593.86
3/30/2016 16:00:00,598.69
3/31/2016 16:00:00,593.64
4/1/2016 16:00:00,598.5
4/4/2016 16:00:00,593.19
4/5/2016 16:00:00,586.14
4/6/2016 16:00:00,602.08
4/7/2016 16:00:00,591.43
4/8/2016 16:00:00,594.6
4/11/2016 16:00:00,595.93
4/12/2016 16:00:00,603.17
4/13/2016 16:00:00,614.82
4/14/2016 16:00:00,620.75
4/15/2016 16:00:00,625.89
4/18/2016 16:00:00,635.35
4/19/2016 16:00:00,627.9
4/20/2016 16:00:00,632.99
4/21/2016 16:00:00,631
4/22/2016 16:00:00,620.5
4/25/2016 16:00:00,626.2
4/26/2016 16:00:00,616.88
4/27/2016 16:00:00,606.57
4/28/2016 16:00:00,602
4/29/2016 16:00:00,659.59
5/2/2016 16:00:00,683.85
5/3/2016 16:00:00,671.32
5/4/2016 16:00:00,670.9
5/5/2016 16:00:00,659.09
5/6/2016 16:00:00,673.95
5/9/2016 16:00:00,679.75
5/10/2016 16:00:00,703.07
5/11/2016 16:00:00,713.23
5/12/2016 16:00:00,717.93
5/13/2016 16:00:00,709.92
5/16/2016 16:00:00,710.66
5/17/2016 16:00:00,695.27
5/18/2016 16:00:00,697.45
5/19/2016 16:00:00,698.52
5/20/2016 16:00:00,702.8
5/23/2016 16:00:00,696.75
5/24/2016 16:00:00,704.2
5/25/2016 16:00:00,708.35
5/26/2016 16:00:00,714.91
5/27/2016 16:00:00,712.24
5/31/2016 16:00:00,722.79
6/1/2016 16:00:00,719.44
6/2/2016 16:00:00,728.24
6/3/2016 16:00:00,725.54
6/6/2016 16:00:00,726.73
6/7/2016 16:00:00,723.74
6/8/2016 16:00:00,726.64
6/9/2016 16:00:00,727.65
6/10/2016 16:00:00,717.91
6/13/2016 16:00:00,715.24
6/14/2016 16:00:00,719.3
6/15/2016 16:00:00,714.26
6/16/2016 16:00:00,717.51
6/17/2016 16:00:00,706.39
6/20/2016 16:00:00,714.01
6/21/2016 16:00:00,715.82
6/22/2016 16:00:00,710.6
6/23/2016 16:00:00,722.08
6/24/2016 16:00:00,698.96
6/27/2016 16:00:00,691.36
6/28/2016 16:00:00,707.95
6/29/2016 16:00:00,715.6
6/30/2016 16:00:00,715.62
7/1/2016 16:00:00,725.68
7/5/2016 16:00:00,728.1
7/6/2016 16:00:00,737.61
7/7/2016 16:00:00,736.57
7/8/2016 16:00:00,745.81
7/11/2016 16:00:00,753.78
7/12/2016 16:00:00,748.21
7/13/2016 16:00:00,742.63
7/14/2016 16:00:00,741.2
7/15/2016 16:00:00,735.44
7/18/2016 16:00:00,736.07
7/19/2016 16:00:00,739.95
7/20/2016 16:00:00,745.72
7/21/2016 16:00:00,744.43
7/22/2016 16:00:00,744.86
7/25/2016 16:00:00,739.61
7/26/2016 16:00:00,735.59
7/27/2016 16:00:00,736.67
7/28/2016 16:00:00,752.61
7/29/2016 16:00:00,758.81
8/1/2016 16:00:00,767.74
8/2/2016 16:00:00,760.58
8/3/2016 16:00:00,754.64
8/4/2016 16:00:00,760.77
8/5/2016 16:00:00,765.98
8/8/2016 16:00:00,766.56
8/9/2016 16:00:00,768.31
8/10/2016 16:00:00,768.56
8/11/2016 16:00:00,771.24
8/12/2016 16:00:00,772.56
8/15/2016 16:00:00,768.49
8/16/2016 16:00:00,764.04
8/17/2016 16:00:00,764.63
8/18/2016 16:00:00,764.46
8/19/2016 16:00:00,757.31
8/22/2016 16:00:00,759.48
8/23/2016 16:00:00,762.45
8/24/2016 16:00:00,757.25
8/25/2016 16:00:00,759.22
8/26/2016 16:00:00,769
8/29/2016 16:00:00,771.29
8/30/2016 16:00:00,767.58
8/31/2016 16:00:00,769.16
9/1/2016 16:00:00,770.62
9/2/2016 16:00:00,772.44
