Date,Close,date
12/1/2015 16:00:00,47.44,12/1/2015
12/2/2015 16:00:00,46.4,12/2/2015
12/3/2015 16:00:00,46.54,12/3/2015
12/4/2015 16:00:00,46.08,12/4/2015
12/7/2015 16:00:00,46.23,12/7/2015
12/8/2015 16:00:00,45.34,12/8/2015
12/9/2015 16:00:00,44.9,12/9/2015
12/10/2015 16:00:00,45.41,12/10/2015
12/11/2015 16:00:00,43.4,12/11/2015
12/14/2015 16:00:00,43.72,12/14/2015
12/15/2015 16:00:00,44.22,12/15/2015
12/16/2015 16:00:00,46.9,12/16/2015
12/17/2015 16:00:00,46.68,12/17/2015
12/18/2015 16:00:00,46.09,12/18/2015
12/21/2015 16:00:00,46.51,12/21/2015
12/22/2015 16:00:00,45.99,12/22/2015
12/23/2015 16:00:00,45.94,12/23/2015
12/24/2015 16:00:00,46.11,12/24/2015
12/28/2015 16:00:00,45.79,12/28/2015
12/29/2015 16:00:00,47.44,12/29/2015
12/30/2015 16:00:00,47.62,12/30/2015
12/31/2015 16:00:00,48,12/31/2015
1/4/2016 16:00:00,44.68,1/4/2016
1/5/2016 16:00:00,44.69,1/5/2016
1/6/2016 16:00:00,43.81,1/6/2016
1/7/2016 16:00:00,43.13,1/7/2016
1/8/2016 16:00:00,42.2,1/8/2016
1/11/2016 16:00:00,41.57,1/11/2016
1/12/2016 16:00:00,41.99,1/12/2016
1/13/2016 16:00:00,40.06,1/13/2016
1/14/2016 16:00:00,41.24,1/14/2016
1/15/2016 16:00:00,41,1/15/2016
1/19/2016 16:00:00,40.94,1/19/2016
1/20/2016 16:00:00,39.74,1/20/2016
1/21/2016 16:00:00,39.99,1/21/2016
1/22/2016 16:00:00,40.51,1/22/2016
1/25/2016 16:00:00,39.28,1/25/2016
1/26/2016 16:00:00,38.71,1/26/2016
1/27/2016 16:00:00,37.61,1/27/2016
1/28/2016 16:00:00,37.94,1/28/2016
1/29/2016 16:00:00,38.24,1/29/2016
2/1/2016 16:00:00,39.39,2/1/2016
2/2/2016 16:00:00,36.56,2/2/2016
2/3/2016 16:00:00,34.7,2/3/2016
2/4/2016 16:00:00,35.07,2/4/2016
2/5/2016 16:00:00,32.52,2/5/2016
2/8/2016 16:00:00,29.6,2/8/2016
2/9/2016 16:00:00,29.65,2/9/2016
2/10/2016 16:00:00,28.73,2/10/2016
2/11/2016 16:00:00,30.09,2/11/2016
2/12/2016 16:00:00,30.21,2/12/2016
2/16/2016 16:00:00,31.03,2/16/2016
2/17/2016 16:00:00,33.74,2/17/2016
2/18/2016 16:00:00,33.35,2/18/2016
2/19/2016 16:00:00,33.32,2/19/2016
2/22/2016 16:00:00,35.55,2/22/2016
2/23/2016 16:00:00,35.44,2/23/2016
2/24/2016 16:00:00,35.8,2/24/2016
2/25/2016 16:00:00,37.49,2/25/2016
2/26/2016 16:00:00,38.07,2/26/2016
2/29/2016 16:00:00,38.39,2/29/2016
3/1/2016 16:00:00,37.27,3/1/2016
3/2/2016 16:00:00,37.67,3/2/2016
3/3/2016 16:00:00,39.15,3/3/2016
3/4/2016 16:00:00,40.21,3/4/2016
3/7/2016 16:00:00,41.06,3/7/2016
3/8/2016 16:00:00,40.52,3/8/2016
3/9/2016 16:00:00,41.74,3/9/2016
3/10/2016 16:00:00,41.04,3/10/2016
3/11/2016 16:00:00,41.5,3/11/2016
3/14/2016 16:00:00,43.03,3/14/2016
3/15/2016 16:00:00,43.67,3/15/2016
3/16/2016 16:00:00,44.39,3/16/2016
3/17/2016 16:00:00,45.28,3/17/2016
